"report_id","date_time","police_beat","street_no","street_dir","street_name","street_type","cross_st_dir","cross_st_name","cross_st_type","violation_section","violation_type","charge_desc","injured","killed","hit_run_lvl"
"170036","2017-01-02 07:00:00","541","100"," ","PARK","BOULEVARD"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"170105","2017-01-02 08:14:00","451","3100"," ","55TH","STREET"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","0","MISDEMEANOR"
"170098","2017-01-02 08:20:00","712","100"," ","CENTER","STREET"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","0","MISDEMEANOR"
"170261","2017-01-02 11:10:00","231","8500"," ","TED WILLIAMS","PARKWAY"," "," "," ","22350","VC","VIOLATION OF BASIC SPEED LAW SPEED UNSAFE FOR CONDITIONS","1","0",""
"170046","2017-01-02 14:10:00","627","500"," ","ROBINSON","AVENUE"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"170129","2017-01-02 14:10:00","722","1900"," ","PALM","AVENUE"," "," "," ","21703","VC","FOLLOWING TOO CLOSELY","3","0",""
"170057","2017-01-02 14:25:00","232","11900"," ","CONFERENCE","WAY"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","1","0","MISDEMEANOR"
"170077","2017-01-02 15:00:00","242","9200"," ","HILLERY","DRIVE"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","1","0",""
"170135","2017-01-02 15:41:00","327","6500"," ","MONTEZUMA","ROAD"," "," "," ","21453A","VC","RED OR STOPVEHICLES STOP AT LIMIT LINE","1","0",""
"170162","2017-01-02 16:00:00","115","5200"," ","GENESEE","COVE"," "," "," ","MISC-HAZ","VC","MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE","0","0","MISDEMEANOR"
"171537","2017-01-02 18:25:00","242","7700"," ","MIRA MESA","BOULEVARD"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","1",""
"170333","2017-01-02 18:26:00","242","9900"," ","MERCY","ROAD"," "," "," ","21453C","VC","RED ARROWDO NOT ENTER INTERSECTION","1","0",""
"170232","2017-01-02 18:45:00","234","11600"," ","RANCHO BERNARDO","ROAD"," "," "," ","22107","VC","TURNING MOVEMENTS AND REQUIRED SIGNALS","0","0","MISDEMEANOR"
